id,category,subcategory,rule_text,date_updated,fee_amounts_jpy,links,audience,ai_can_answer,requires_fee_disclaimer,needs_review,review_reason
R028,GENERAL RULES,Monthly payment via GMO bank transfer,VDM GMO account number- if customer paid via GMO even the payment method is smartpit in the same month - ask approval in #mur-discount-confirmation slack channel,,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R029,GENERAL RULES,Monthly payment via GMO bank transfer,New VDM bank account (not JP Bank/YUCHO) Bank Name: GMO（ジーエムオー）あおぞらネット銀行 Branch Code: 562 Branch Name: ワシ支店 (Washi shiten) Account number: 1445700,,,,customer,True,False,False,
R030,GENERAL RULES,Monthly payment via Stripe,3. TUTORIAL : HOW TO PAY MONTHLY INTERNET VIA STRIPE IN CONVENIENCE STORE FAMILY MART AND LAWSON,,,https://youtu.be/GLB02i_mqVw?feature=shared,customer,True,False,False,
R031,GENERAL RULES,Monthly payment via Stripe,3.1. Poster: HOW TO PAY MONTHLY INTERNET VIA STRIPE IN CONVENIENCE STORE FAMILY MART AND LAWSON,,,https://drive.google.com/file/d/1xd6TpOTnuR6Q2BSrOfHBY7wOeUbfRIc_/view?usp=drive_link,customer,True,False,False,
R032,GENERAL RULES,Monthly payment via Stripe,3.2. Poster: CARA PEMBAYARAN INTERNET BULANAN DENGAN STRIPE DI FAMILY MART DAN LAWSON,,,https://drive.google.com/file/d/1wl_GDH_B4tLsGF2qXYHpkomRhblEe3r1/view?usp=drive_link,customer,True,False,False,
R033,GENERAL RULES,Monthly payment via Stripe,"Payment via stripe required active email address, make sure to collect this from customer",,,,customer,True,False,False,
R034,GENERAL RULES,Monthly payment via Stripe,Monthly payment via bank transfer (not recommended),,,,customer,True,False,False,
R035,GENERAL RULES,Monthly payment via Stripe,"4. When customer wanted to pay by Bank Transfer, inform them to transfer here : | How to Pay via Bank Transfer MUR account",,,https://drive.google.com/drive/folders/1-IBQxMb2sKV3yo87tR783Fo4Bvc2N9Jl,customer,True,False,False,
R036,GENERAL RULES,Monthly payment via Stripe,"For Bank transfer, please input in ALL REQUEST with the bank receipt and customer number/smartpit number/phone number after paid ( please recommend customer to pay by SMARTPIT)",,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R037,GENERAL RULES,Monthly payment via Stripe,"As per order from 1st December 2023, monthly payment using Bank Transfer (YUCHO) is not accepted anymore (if customer send bank transfer receipt payment for the 1st time will be accepted, instruct to pay thru new payment method for the next bills",2023-12-26,,,customer,True,False,False,
R038,GENERAL RULES,Monthly payment via Stripe,¥200 Fine for payment after deadline- Late payment fee,,200,,customer,True,True,False,
R039,GENERAL RULES,Monthly payment via Stripe,For new customers only arrival date 1/1/24 onwards: ¥300 Fine for payment after deadline- Late payment fee,2024-12-23,300,,customer,True,True,False,
R040,GENERAL RULES,Monthly payment via Stripe,"Unintentional: ¥1000 and below of lacking payment will be automatically add to next month's bill (late payment fee, additional sms/call charge, lacking payment on monthly fee)",2023-12-14,1000,,customer,True,True,False,
R041,GENERAL RULES,Monthly payment via Stripe,"Lacking payment by bank transfer- AR staff will inform seller/support, customer can paid right away or add for next month's bill (late payment fee, additional sms/call charge, lacking payment on monthly fee)",2023-12-14,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R042,GENERAL RULES,Monthly payment via Stripe,Over payment (no limit) will be deducted on the next month's bill- by request in AR,2023-12-14,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R043,GENERAL RULES,Monthly payment via Stripe,Less than 500Yen remaining balance from the discount will be applied to next month's bill,2025-04-02,500,,customer,True,True,False,
R044,GENERAL RULES,Monthly payment via Stripe,"Late payment of 2-5 days after payment due date, signal will be stopped",,,,customer,True,False,False,
R045,GENERAL RULES,Monthly payment via Stripe,Signal reconnection after disconnection is 2-4 working days after resumption request,,,,customer,True,False,False,
R046,GENERAL RULES,Monthly payment via Stripe,"Late payment 5-7days after signal stopped, signal will be permanently disconnected/re-issue (reissue fee need to be paid)",,,,customer,True,False,False,
R047,GENERAL RULES,Monthly payment via Stripe,All Plans: that has re-issue/permanent disconnected status; re-issue fee must be paid | refer to this link for re-issue fee and rule,,,,customer,True,False,False,
R048,GENERAL RULES,Monthly payment via Stripe,"If there are missing items upon delivery, we will send new ones (includes missing freebies)",,,,customer,True,False,False,
R049,GENERAL RULES,Monthly payment via Stripe,"All plans (pocket wifi/sim card): Are for rental items only and need to return to the company upon cancellation, replacement and change plan",,,,customer,True,False,False,
R050,GENERAL RULES,Monthly payment via Stripe,All sim plans: Can be used on SIMFREE phones only,,,,customer,True,False,False,
R051,GENERAL RULES,Monthly payment via Stripe,All data sim plans: Hotspot and thetering is not available (offer pocket wifi for internet sharing),,,,customer,True,False,False,
R052,GENERAL RULES,Monthly payment via Stripe,"D-call sim not supported in iPhone- suggest change plan to s-call sim/softbank voice sim- within 7 days after delivery date(change fee applies- COD price of previous plan less COD price of chosen new plan; if new plan has cheaper COD the difference is not refundable) / if not willing, process refund if within 7 days after delivery date",2023-02-05,,,customer,True,False,False,
R053,GENERAL RULES,Monthly payment via Stripe,"For returned item and needs to refund but returned without the freebies, freebies price will be deducted from the total cod amount (refer to mashup lvl3 itemlist for freebies price)",,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R054,GENERAL RULES,Monthly payment via Stripe,Deposit fee: Plans with deposit fee (unpaid bill other fees can be deducted to deposit fee)- Request in AR to process,2023-06-15,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R055,GENERAL RULES,Monthly payment via Stripe,"Deposit fee that needs to refund, process the refund like the usual via order sheet",2023-06-15,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R056,GENERAL RULES,Monthly payment via Stripe,Rental pocket wifi fee is 2000 yen (except for 300GB and 50GB/3DAYS) | refer to this link for other device rental fees,,2000,,customer,True,True,False,
R057,GENERAL RULES,Monthly payment via Stripe,"When CHANGE PLAN , SMARTPIT NUMBER will still be the SAME , customer number and MSN will CHANGE | refer to this link for specfic change plan rule",,,,customer,True,False,False,
R058,GENERAL RULES,Monthly payment via Stripe,"If number cannot receive sms , replacement is free | refer to this link for other replacement rule and fees",,,,customer,True,False,False,
R059,GENERAL RULES,Monthly payment via Stripe,If number has been used for registration on line/amazon/other app . replacement is free | refer to this link for other replacement rule and fees,,,,customer,True,False,False,
R060,GENERAL RULES,Monthly payment via Stripe,Please make sure to collect ICCID/CHIP number and smartpit number to ensure no mistake during replacement,,,,customer,True,False,False,
R061,GENERAL RULES,Monthly payment via Stripe,"Please inform customer DO NOT SEND the SMARTPIT CARD , upon replacement , only the old device/sim card",,,,customer,True,False,False,
R062,GENERAL RULES,Monthly payment via Stripe,"PUK lock will be charged ¥3300, we will send new one (unless PUK locked upon receiving, its free)",,3300,,customer,True,True,False,
R063,GENERAL RULES,Monthly payment via Stripe,PUK PIN/CODE can be informed by request in ALL REQUEST (2-3 Working days is required) | ☆★All Request Sheet★☆,,,https://docs.google.com/spreadsheets/d/1mKUj4ghE42KOmu-w26FO-JWWrp0jsESq1xUH6O6hnnU/edit,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R064,GENERAL RULES,Monthly payment via Stripe,"Customers that wants to come in office is by appointment only, inform in #mu-icd channel if there is available staff who assist the customer",,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R065,GENERAL RULES,Monthly payment via Stripe,All Calling Sim plans: Selling to Japanese national customer is prohibited by provider regulation . failure in following regulation can result in huge penalties,2023-12-14,,,customer,True,False,False,
R066,GENERAL RULES,Monthly payment via Stripe,All Docomo plans (Easy Call plan/D-call plans) - ID requirement is restricted for residence card only- (other IDs aside from residence card is not acceptable.),2024-07-12,,,customer,True,False,False,
R067,GENERAL RULES,Monthly payment via Stripe,For Brastel Plan+Sim card/Pocket wifi and Customer wants to cancel- Need to return the Sim card/Pocket wifi and can continue using the brastel card (In case of trouble/cancellation of Brastel card direct the customer to support them | https://www.facebook.com/Brastel,2024-02-09,,https://www.facebook.com/Brastel,customer,True,False,False,
R068,GENERAL RULES,Monthly payment via Stripe,AU50GB3DAYS WIFI: If customers can't connect their WiFi to their laptop or smart home device because the other device can't detect it. (Solution: Instruct customer to switch their device's frequency from 2.4GHz to 2.4/5GHz. This often solves frequency compatibility issues.),2024-04-22,,,customer,True,False,False,
R069,GENERAL RULES,Monthly payment via Stripe,Cashback refund processing takes 8-14 days from the date the item is received in the office.,,,,customer,True,False,False,
R070,GENERAL RULES,Usage Notice,"Internet Data always reset every 1st of the month , regardless on the payment date of the monthly bill",,,,customer,True,False,False,
R071,GENERAL RULES,Usage Notice,"Pocket Wifi can be used immediately , just connect and you can start using",,,,customer,True,False,False,
R072,GENERAL RULES,Click this for APN Settings,All Plans- Minimum use: 4 months,,,,customer,True,False,False,
R073,GENERAL RULES,Click this for APN Settings,"Cancellation before/within 4 months , 5000 YEN cancellation Fee",,5000,,customer,True,True,False,
R074,GENERAL RULES,Click this for APN Settings,"If the customer wishes to cancel in May, the item must be returned by the last day of May to avoid being charged for the next month.",,,,customer,True,False,False,
R075,GENERAL RULES,Click this for APN Settings,"After 4 months of use, unpaid bills must be settled, and the device returned. Payment covers 3 consecutive months plus the COD price (based on Kintone). No 5,000 Yen cancellation fee applies.",,5000,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R076,GENERAL RULES,Click this for APN Settings,"If canceled within 4 months of use, a cancellation fee and any unpaid bills must be paid. *Not yet re-issue",,,,customer,True,False,False,
R077,GENERAL RULES,Click this for APN Settings,"If canceled before or after 4 months but reissued, the reissue fee and any unpaid bills must be paid. No cancellation fee is required. | please refer to re-issue fee guidelines",,,,customer,True,False,False,
R078,GENERAL RULES,Returning of rental Sim card and Pocket Wifi,"Cancellation, Change Plan, Replacement - sim card and pocket wifi must be returned",,,,customer,True,False,False,
R079,GENERAL RULES,Returning of rental Sim card and Pocket Wifi,"The Cancellation process should be: 1, directly input the details in Prob R, 2. update the ordersheet for the refund procedure if refund is needed",2024-09-23,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R080,GENERAL RULES,Returning of rental Sim card and Pocket Wifi,Re-issued pocket wifi plans- device must be returned,,,,customer,True,False,False,
R081,GENERAL RULES,Returning of rental Sim card and Pocket Wifi,Re-issued sim plans- sim card doesn't need to returrn,,,,customer,True,False,False,
R082,GENERAL RULES,Returning of rental Sim card and Pocket Wifi,⚠️OLD PLAN must be returned immediately within 7 days (except for Special Case of Change Plan),,,,customer,True,False,False,
R083,GENERAL RULES,Returning of rental Sim card and Pocket Wifi,"All item must be returned for any plan upon cancellation, change plan, and replacement = failing to return will be penalized",,,,customer,True,False,False,
R084,GENERAL RULES,Returning Methods and Tutorials,1. Returning via Postal box Vietnamese version | HƯỚNG DẪN : CÁCH GỬI QUA BƯU ĐIỆN | TIẾNG VIỆT,,,https://www.youtube.com/watch?v=34UAe8H6zNo&list=PLZjTOuplDc0UXXuV4glVWpRfBfhInzFzj&index=11,customer,True,False,False,
R085,GENERAL RULES,Returning Methods and Tutorials,2. Returning via Postal box Indonesian version | TUTORIAL : CARA MENGEMBALIKAN MELALUI POS | VERSI BAHASA INDONESIA,,,https://www.youtube.com/watch?v=axHqIibfaX8&list=PLZjTOuplDc0UXXuV4glVWpRfBfhInzFzj&index=13,customer,True,False,False,
R086,GENERAL RULES,Returning Methods and Tutorials,3. Returning via Postal box English version | TUTORIAL : HOW TO RETURN BY POSTMAIL | ENGLISH VERSION,,,https://youtu.be/paUVe_r8pew?si=ldFQZzZxAyvqkEIM,customer,True,False,False,
R087,GENERAL RULES,Returning Methods and Tutorials,4. Returning via Convenience store Vietnamese version | HƯỚNG DẪN : CÁCH TRẢ LẠI TẠI CỬA HÀNG TIỆN LỢI | TIẾNG VIỆT,,,https://www.youtube.com/watch?v=fSJuCw50Bq0&list=PLZjTOuplDc0UXXuV4glVWpRfBfhInzFzj&index=12,customer,True,False,False,
R088,GENERAL RULES,Returning Methods and Tutorials,5. Returning via Convenience store Indonesian version | TUTORIAL : CARA MENGEMBALIKAN MELALUI MINI MARKET | VERSI BAHASA INDONESIA,,,https://www.youtube.com/watch?v=ajhKHNbnoqM&list=PLZjTOuplDc0UXXuV4glVWpRfBfhInzFzj&index=14,customer,True,False,False,
R089,GENERAL RULES,Returning Methods and Tutorials,6. Returning via Convenience store English version | TUTORIAL : HOW TO RETURN BY CONVENIENCE STORE | ENGLISH VERSION,,,https://www.youtube.com/watch?v=6jT3Ai-iUZU&list=PLZjTOuplDc0UXXuV4glVWpRfBfhInzFzj&index=16,customer,True,False,False,
R090,GENERAL RULES,BILLING TERM,Receive date is based on the original received date not the re-delivery date.,,,,customer,True,False,False,
R091,GENERAL RULES,BILLING TERM,Refer here for exact payment dates: | Product Price list,,,https://sites.google.com/view/mashuprjapan/home,customer,True,False,False,
R092,GENERAL RULES,1. PLAN A PERIOD,Early Start Term (received date 1st-10th day) -> 25th of the same month - 10th of the next month,,,,customer,True,False,False,
R093,GENERAL RULES,1. PLAN A PERIOD,Mid Start Term (received date 11th -20th day)-> 25th of the same month - 10th of the next month,,,,customer,True,False,False,
R094,GENERAL RULES,1. PLAN A PERIOD,Late Start Term (received date 21st -30th day) -> 25th of the next month - 10th of the following month,,,,customer,True,False,False,
R095,GENERAL RULES,2. PLAN C PERIOD,C-A: Early Start Term(received date 1st-10th day) > 25th of the same month - 5th of the next month,,,,customer,True,False,False,
R096,GENERAL RULES,2. PLAN C PERIOD,C-B: Mid Start Term (received date 11th -20th day) > 6th of the next month - 15th of the next month,,,,customer,True,False,False,
R097,GENERAL RULES,2. PLAN C PERIOD,C-C: Late Start Term (received date 21st -30th day) > 16th of the next month - 25th of the next month,,,,customer,True,False,False,
R098,GENERAL RULES,3. VOICE SIM PERIOD,"(voice sim,d call sim (check kintone to confirm if the voice sim is using voice sim period billing term as its usually from order from February 21st 2022)",,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R099,GENERAL RULES,3. VOICE SIM PERIOD,Early/Mid /Late Term -> 5th of the next month - 20th of the next month,,,,customer,True,False,False,
R100,GENERAL RULES,3. VOICE SIM PERIOD,REVISED - CHANGE BILLING TERM REQUEST | HOW to REQUEST:,2024-02-02,,,customer,True,False,False,
R101,GENERAL RULES,3. VOICE SIM PERIOD,Only applicable to these plans and it's change billing term fee: | 1. Register in ALL REQUEST- Flexible Billing Request tab,,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R102,GENERAL RULES,3. VOICE SIM PERIOD,"C-A (26-5) → C-B (6-15) : 2,200 Yen | 2. Office register the bills in stripe/smartpit accord to changes,",,2200,,customer,True,True,False,
R103,GENERAL RULES,3. VOICE SIM PERIOD,"C-A (26-5) → C-C (16-25) : 4,400 Yen | 3. if customer monthly payment is GMO or bank transfer, seller inform customer to pay with stated amount",,4400,,customer,True,True,False,
R104,GENERAL RULES,3. VOICE SIM PERIOD,"C-B (6-15) → C-C (16-25) : 2,200 Yen | 4. Seller / support , attach receipt in the ALL REQUEST for update in kintone",,2200,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R105,GENERAL RULES,3. VOICE SIM PERIOD,NOTE:,2024-02-02,,,customer,True,False,False,
R106,GENERAL RULES,3. VOICE SIM PERIOD,1. Changes beyond those stated above are not possible and are non-reversible. Only changes as mentioned are accepted.,,,,customer,True,False,False,
R107,GENERAL RULES,3. VOICE SIM PERIOD,2. Plan C-C (16-25) and Plan V (5-20) are not eligible for plan changes to avoid billing confusion.,,,,customer,True,False,False,
R108,GENERAL RULES,3. VOICE SIM PERIOD,3. The change of billing term fee is separate from the monthly bill fee. The monthly bill fee for the same month must still be paid.,,,,customer,True,False,False,
R109,GENERAL RULES,3. VOICE SIM PERIOD,4. Billing term changes are applicable if the request is made at least 2 days before the original bill cycle end date.4.,,,,customer,True,False,False,
R110,GENERAL RULES,"Shipping, PICK UP, 1st payment and Method","If delivery issues occur on the company's side and the order is late, the price will be adjusted based on the actual receive date.",,,,customer,True,False,False,
R111,GENERAL RULES,"Shipping, PICK UP, 1st payment and Method","Yamato’s delivery time is 2-3 days from the order date, except for some areas.",,,,customer,True,False,False,
R112,GENERAL RULES,"Shipping, PICK UP, 1st payment and Method",A ¥300 discount is available for orders paid by bank transfer.,,300,,customer,True,True,False,
R113,GENERAL RULES,"Shipping, PICK UP, 1st payment and Method","For 2 or more orders shipped together to the same address, a discount of ¥700 per item applies (e.g., buy 2, get ¥700 off; buy 3, get ¥1,400 off). Check here for the latest discounts. | Product Price lists",2022-12-22,700;700,https://sites.google.com/view/mashuprjapan/home,customer,True,True,False,
R114,GENERAL RULES,"Shipping, PICK UP, 1st payment and Method",The Cash on Delivery (COD) fee is ¥700.,,700,,customer,True,True,False,
R115,GENERAL RULES,"Shipping, PICK UP, 1st payment and Method","For pick-up orders, the seller must be informed in advance of the time and date before the pick-up.",2022-02-12,,,customer,True,False,False,
R116,GENERAL RULES,"Shipping, PICK UP, 1st payment and Method",Pick-up orders at the office are eligible for a ¥700 discount (applied to the shipping fee).,2022-12-13,700,,customer,True,True,False,
R117,GENERAL RULES,"Shipping, PICK UP, 1st payment and Method","If a marketing staff member in the office assists a customer for more than 15 minutes, the staff member receives recognition for the achievement.",2022-12-02,,,customer,True,False,False,
R118,GENERAL RULES,"Shipping, PICK UP, 1st payment and Method","For plans that include a gift but the customer chooses not to take the gift at the time of ordering, a ¥600 discount will be applied. Prior notification and approval are required from the discount group (#mur-discount-confirmation).",2022-12-13,600,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R119,GENERAL RULES,Additional Fees and Charges on top of Montly bill,"Sim Card Plans with SMS feature - Old plans until June 30, 2025",,,,customer,True,False,False,
R120,GENERAL RULES,Additional Fees and Charges on top of Montly bill,¥3.3 per sms sending (domestic),,,,customer,True,False,False,
R121,GENERAL RULES,Additional Fees and Charges on top of Montly bill,¥110 per sms sending (international),,110,,customer,True,True,False,
R122,GENERAL RULES,Additional Fees and Charges on top of Montly bill,"Sim Card Plans with SMS feature - New plans from July 1, 2025",2025-06-25,,,customer,True,False,False,
R123,GENERAL RULES,SMS Charges (Domestic & International),Message Length | Domestic SMS Fee | International SMS Fee,,,,customer,True,False,False,
R124,GENERAL RULES,SMS Charges (Domestic & International),1–70 characters | ¥6 (1–160 half-width alphanumeric) | ¥100 (1–160 half-width alphanumeric),,100,,customer,True,True,False,
R125,GENERAL RULES,SMS Charges (Domestic & International),71–134 characters | ¥12 (161–306 half-width alphanumeric) | ¥200 (161–306 half-width alphanumeric),,200,,customer,True,True,False,
R126,GENERAL RULES,SMS Charges (Domestic & International),135–201 characters | ¥18 (307–459 half-width alphanumeric) | ¥300 (307–459 half-width alphanumeric),,300,,customer,True,True,False,
R127,GENERAL RULES,SMS Charges (Domestic & International),202–268 characters | ¥24 (460–612 half-width alphanumeric) | ¥400 (460–612 half-width alphanumeric),,400,,customer,True,True,False,
R128,GENERAL RULES,SMS Charges (Domestic & International),269–335 characters | ¥30 (613–765 half-width alphanumeric) | ¥500 (613–765 half-width alphanumeric),,500,,customer,True,True,False,
R129,GENERAL RULES,SMS Charges (Domestic & International),336–402 characters | ¥36 (766–918 half-width alphanumeric) | ¥600 (766–918 half-width alphanumeric),,600,,customer,True,True,False,
R130,GENERAL RULES,SMS Charges (Domestic & International),403–469 characters | ¥42 (919–1071 half-width alphanumeric) | ¥700 (919–1071 half-width alphanumeric),,700,,customer,True,True,False,
R131,GENERAL RULES,SMS Charges (Domestic & International),470–536 characters | ¥48 (1072–1224 half-width alphanumeric) | ¥800 (1072–1224 half-width alphanumeric),,800,,customer,True,True,False,
R132,GENERAL RULES,SMS Charges (Domestic & International),537–603 characters | ¥54 (1225–1377 half-width alphanumeric) | ¥900 (1225–1377 half-width alphanumeric),,900,,customer,True,True,False,
R133,GENERAL RULES,SMS Charges (Domestic & International),604–670 characters | ¥60 (1378–1530 half-width alphanumeric) | ¥1000 (1378–1530 half-width alphanumeric),,1000,,customer,True,True,False,
R134,GENERAL RULES,Calling Sim Plans,¥22 / 30 seconds: S Call Plan and D Call Plan,,,,customer,True,False,False,
R135,GENERAL RULES,Calling Sim Plans,"¥22 / 30 seconds: Orders contracted on or before August 31, 2025 (RM Call Plan)",,,,customer,True,False,False,
R136,GENERAL RULES,Calling Sim Plans,"¥33 / 30 seconds: Orders contracted from September 1, 2025 onward (RM Call Plan)",2025-08-23,,,customer,True,False,False,
R137,GENERAL RULES,AU50GB/3 days Pocket WiFi Plan,¥1000 for the +A mode activation,,1000,,customer,True,True,False,
R138,GENERAL RULES,Deposit Refund Claims - Updated Policy,Deadline for SIM/Device Returns to claim the deposit,2025-09-03,,,customer,True,False,False,
R139,GENERAL RULES,Deposit Refund Claims - Updated Policy,"1. Contracts started before September 7, 2025 Until October 31, 2025 → Current rules apply (no deadline). From November 1, 2025 → A 60-day claim deadline applies.",,,,customer,True,False,False,
R140,GENERAL RULES,Deposit Refund Claims - Updated Policy,"2. Contracts started on or after September 7, 2025 The 60-day claim deadline applies immediately.",,,,customer,True,False,False,
R141,GENERAL RULES,Deposit Refund Claims - Updated Policy,Important Note: Please make sure to inform customers in advance.,,,,customer,True,False,False,
R142,GENERAL RULES,Customer Data Management,SIM Card Transfer Process:,2024-05-27,,,customer,True,False,False,
R143,GENERAL RULES,Customer Data Management,1. Collect the new user’s ID and email details.,,,,customer,True,False,False,
R144,GENERAL RULES,Customer Data Management,2. Enter the new user’s ID and email into Survey Sparrow. | SURVEY SPARROW LINK,,,https://mashup.surveysparrow.com/s/MASH-UP-R-D-Call-Sim/tt-4bc496?fbclid=IwAR0HKX5Lr5_9P5UZOB5sbavtZlUU0Wn3HMTYXy4knCkWgDXFcFp7Ddu88vU,customer,True,False,False,
R145,GENERAL RULES,Customer Data Management,Note: Make sure the order number in Survey Sparrow matches the one in Kintone.,,,,internal,False,False,True,auto-tagged internal (staff-ops keyword) - confirm
R146,GENERAL RULES,Customer Data Management,Complete the updated survey,,,https://mashup.surveysparrow.com/s/MASH-UP-R-D-Call-Sim/tt-4bc496?fbclid=IwAR0HKX5Lr5_9P5UZOB5sbavtZlUU0Wn3HMTYXy4knCkWgDXFcFp7Ddu88vU,customer,True,False,False,
R147,GENERAL RULES,Customer Data Management,"1. Collect the new user's front, back ID and a selfie picture.",2026-03-30,,,customer,True,False,False,
R148,GENERAL RULES,6. Upload the selfie Picture for D-sim plans,7. Enter the complete name following what is written on the submitted residence card.,,,,customer,True,False,False,
R149,GENERAL RULES,6. Upload the selfie Picture for D-sim plans,Direct links for specific rules and it's guidelines,,,,customer,True,False,False,
