id,category,subcategory,rule_text,date_updated,fee_amounts_jpy,links,audience,ai_can_answer,requires_fee_disclaimer,needs_review,review_reason,source
F011,CS FEEDBACK: Internet / APN,Tutorial format,"Where a tutorial exists, offer a poster/image version in addition to the video, so customers with weak or no internet can still follow it.",2026-08-06,,,customer,True,False,True,Poster URLs not yet supplied by CS — obtain image links before enabling,CS feedback docx (Aug 2026)
F012,CS FEEDBACK: Internet / APN,Missing tutorials,Tutorial videos for RM Voice SIM and RM Data SIM are not available yet.,2026-08-06,,,internal,False,False,True,CS reported missing tutorials — confirm when added,CS feedback docx (Aug 2026)
F013,CS FEEDBACK: Payment & monthly bill,Accepted payment methods,"Monthly payment can be made by SmartPit, Stripe, or GMO only.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F014,CS FEEDBACK: Payment & monthly bill,Yucho bank transfer discontinued,Bank transfer (Yucho) is no longer accepted for monthly payments (since 1 December 2023). Do not recommend bank transfer. Customers who wish to change payment method can contact staff to switch from SmartPit to GMO or Stripe.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F015,CS FEEDBACK: Payment & monthly bill,Where to check the monthly amount,The monthly payment amount and late payment notes are printed in the booklet the customer received with the SIM.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F016,CS FEEDBACK: Payment & monthly bill,Late payment fee,A late payment fee of ¥200 or ¥300 applies depending on the contract start date.,2026-08-06,200;300,,customer,True,False,False,,CS feedback docx (Aug 2026)
F017,CS FEEDBACK: Payment & monthly bill,Late payment timeline,"If payment is 2–5 days late, the signal is stopped. If payment is 5–7 days late after the signal stops, the line is permanently disconnected and a re-issue fee applies. Settle the account immediately to avoid disconnection.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F018,CS FEEDBACK: Payment & monthly bill,After paying,Payment is updated 1–2 days after completion. The customer may also send a copy of the payment receipt through support so the office can update the account faster.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F019,CS FEEDBACK: Payment & monthly bill,Signal stopped by late payment,"Yes, the signal may have stopped due to late payment. If payment is 2–5 days late after the due date, the signal will be stopped. To restore service, pay the monthly fee including the late payment fee, then inform staff after payment is confirmed so a resumption request can be made.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F020,CS FEEDBACK: Payment & monthly bill,Can I pay late?,"Late payments are accepted but a ¥300 late payment fee applies. If the customer expects to be unable to pay on time, they should contact us before the due date: a payment arrangement request may be submitted to the office, subject to approval and company policy.",2026-08-06,300,,customer,True,False,False,,CS feedback docx (Aug 2026)
F021,CS FEEDBACK: Payment & monthly bill,Can I pay in advance?,Yes. The customer should contact us so we can request early registration of the bill.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F022,CS FEEDBACK: Payment & monthly bill,Paying while on vacation,"If the customer will be away during the billing period, we recommend paying in advance before the trip; a temporary holiday promotion is also offered. If advance payment is not possible, contact us before the due date to check whether a payment arrangement is available, subject to company policy and approval.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F023,CS FEEDBACK: Payment & monthly bill,If the bill is not paid,"Failure to pay by the due date may result in a ¥300 late payment fee, temporary suspension of internet service, and additional charges if the account remains unpaid or is permanently stopped.",2026-08-06,300,,customer,True,False,False,,CS feedback docx (Aug 2026)
F024,CS FEEDBACK: Payment & monthly bill,Tutorial links must be SIM Point,Payment tutorial links currently point to the VDM YouTube channel and must be replaced with SIM Point channel links.,2026-08-06,,,internal,False,False,True,New SIM Point YouTube URLs required from CS before customer-facing links are corrected,CS feedback docx (Aug 2026)
F025,CS FEEDBACK: Signal stopped / re-issue,Permanent disconnection — SIM,"If the number has been permanently disconnected, a ¥4,000 fine applies and the outstanding bill must be paid by the end of the month to avoid being blacklisted. Once all payments are made, the customer may place a new SIM/data order.",2026-08-06,4000,,customer,True,False,False,,CS feedback docx (Aug 2026)
F026,CS FEEDBACK: Signal stopped / re-issue,Permanent disconnection — pocket WiFi,"For pocket WiFi: if the number has been permanently disconnected, a ¥4,000 fine applies and the outstanding balance must be paid by the end of the month to avoid being blacklisted. The pocket WiFi must also be returned to the office. Once all balances are paid and the device is returned, the customer may place a new order.",2026-08-06,4000,,customer,True,False,False,,CS feedback docx (Aug 2026)
F027,CS FEEDBACK: Signal stopped / re-issue,Signal resumption time,"After a resumption request is made, the signal is normally reconnected within 2–4 working days.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F028,CS FEEDBACK: Lost SIM or device,New SIM is active on delivery,A replacement SIM sent for a lost SIM is delivered active — the customer does not need to wait for signal reconnection.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F029,CS FEEDBACK: Lost SIM or device,Replacement device condition,A replacement pocket WiFi is provided from office stock and is not necessarily a brand-new device. Make this clear to avoid misunderstanding.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F030,CS FEEDBACK: Lost SIM or device,Identify the pocket WiFi model,"For a lost pocket WiFi, show pictures of the pocket WiFi models so the customer can identify which device they had, then give the replacement fee for that specific device.",2026-08-06,,,customer,True,False,True,Device photos not yet supplied — obtain images before enabling this flow,CS feedback docx (Aug 2026)
F031,CS FEEDBACK: Returning SIM / device,Two reasons for return,"There are two reasons for returning items. For cancellation: return everything received with the order (SIM card / pocket WiFi, SmartPit card, etc.). For replacement or plan change: return only the item being replaced (SIM card / pocket WiFi) — do NOT send back the SmartPit card.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F032,CS FEEDBACK: Returning SIM / device,Photos required when returning,"When returning, take photos of: (1) a clear image showing the ICCID number on the SIM card or device, and (2) the envelope being dropped into the postal box. Send the photos through our support platform so they are recorded as proof of return.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F033,CS FEEDBACK: Returning SIM / device,Return address,"Return address: 〒103-0027, Karen Nihonbashi Building 5F, 3-8-13 Nihonbashi, Chuo-ku, Tokyo. Make sure the return envelope shows the current office address.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F034,CS FEEDBACK: Returning SIM / device,Outdated envelope,"If the return envelope is not updated or has expired, guide the customer to the convenience-store return method instead.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F035,CS FEEDBACK: Returning SIM / device,Not all returns are refundable,Not every return qualifies for a cashback refund.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F036,CS FEEDBACK: Replacement / change plan,Change plan to AU50GB3D X11/X12,"Changing to an AU50GB3D X11 or X12 device costs ¥2,000 plus a ¥700 delivery fee — ¥2,700 in total.",2026-08-06,2000;700;2700,,customer,True,False,False,,CS feedback docx (Aug 2026)
F037,CS FEEDBACK: Replacement / change plan,Phone number changes,"When a plan is changed, the customer phone number (MSN) also changes. State this clearly — it is a frequent customer question.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F038,CS FEEDBACK: Replacement / change plan,Return wording fix,"Correct wording: ""Your old SIM card or device must be returned within 7 days."" (not ""your old plan"").",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F039,CS FEEDBACK: Replacement / change plan,Free replacement distinction,Free replacement conditions differ between SIM card and pocket WiFi — state which applies.,2026-08-06,,,customer,True,False,True,CS supplied this as an image; exact conditions to be transcribed with CS,CS feedback docx (Aug 2026)
F040,CS FEEDBACK: Replacement / change plan,Fee guide accessibility,Device Lost Fee / Replacement Fee / Rental Fee must be answerable in chat instead of pointing the customer to the internal Google site.,2026-08-06,,,internal,False,False,True,Confirm which of these fee tables may be quoted to customers,CS feedback docx (Aug 2026)
F041,CS FEEDBACK: Refund / deposit / cashback,Cashback processing time,Cashback refund is processed within 8–14 business days after the returned item is received and checked at our office.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F042,CS FEEDBACK: Refund / deposit / cashback,Deposit refund requirements,"If a deposit is confirmed by staff, the customer must provide: photo of the ICCID on the SIM/pocket WiFi, proof of return, photo of the bank account or cash card, customer or SmartPit number, account number, account holder name, bank name or code, and branch name or code.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F043,CS FEEDBACK: Refund / deposit / cashback,Deposit claim deadline,"Contracts started before 7 September 2025: no claim deadline applied until 31 October 2025; from 1 November 2025 a 60-day claim period applies. Contracts started on or after 7 September 2025: a 60-day claim period applies immediately. Explain the process first, then the deadline.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F044,CS FEEDBACK: Refund / deposit / cashback,COD refund for wrong/incompatible item,"For Data SIM and Pocket WiFi plans, the COD payment is refundable if the customer notifies us within 7 days of receiving the item and returns the complete item within those 7 days, together with proof of return, ICCID photo, bank account photo, customer/SmartPit number and full bank details.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F045,CS FEEDBACK: Refund / deposit / cashback,Overseas bank refund,"A refund can be sent to an overseas bank account. Required: destination country, delivery method (bank transfer), bank name, branch code or name, account number, account name, nationality, postal code, branch address, mobile number, branch landline, personal email, email language, and a picture of the bank account or cash card.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F046,CS FEEDBACK: Refund / deposit / cashback,Return required before refund,A refund cannot be processed without returning the SIM card or pocket WiFi. The returned item must be complete and proof of shipment provided.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F047,CS FEEDBACK: Refund / deposit / cashback,Refund status check,To check refund status the customer should contact support with their customer number or SmartPit number.,2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F048,CS FEEDBACK: Cancellation,Deposit customers — 2 months notice,Customers who paid the ¥800 deposit must give 2 months advance notice for a cancellation request.,2026-08-06,800,,customer,True,False,False,,CS feedback docx (Aug 2026)
F049,CS FEEDBACK: Cancellation,Collect identifiers before escalating,"For cancellation requests, collect the SmartPit / GMO / customer number before handing over to staff.",2026-08-06,,,customer,True,False,False,,CS feedback docx (Aug 2026)
F050,CS FEEDBACK: Plans & prices,Network providers,Call SIM is available on Rakuten and Docomo networks.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F051,CS FEEDBACK: Plans & prices,Call plans data sizes,"Call plans are available with 20GB, 6GB and 1GB of data.",2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F052,CS FEEDBACK: Plans & prices,Call rate,"Call rates depend on the plan: some plans are ¥33 per 30 seconds, others ¥22 per 30 seconds.",2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F053,CS FEEDBACK: Plans & prices,Monthly fee,There is a monthly fee for voice SIM; the amount depends on the data plan chosen.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F054,CS FEEDBACK: Plans & prices,SMS included,SMS is included with the voice SIM plan; the call rate is the same regardless of who is called.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F055,CS FEEDBACK: Plans & prices,Domestic SMS charges,"Domestic SMS: ¥6 for 1–70 characters, then ¥6 more per additional 67 characters (¥12 / ¥18 / ¥24 / ¥30 / ¥36 / ¥42 / ¥48 / ¥54 / ¥60 up to 670 characters).",2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F056,CS FEEDBACK: Plans & prices,International SMS charges,"International SMS: ¥100 for 1–70 characters, increasing by ¥100 per additional 67 characters (up to ¥1,000 for 604–670 characters).",2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F057,CS FEEDBACK: Plans & prices,No international calls,International calls and SMS are not supported on Call SIM plans — domestic use only.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F058,CS FEEDBACK: Plans & prices,Switch data to voice,A data-only SIM can be switched to a voice SIM; staff will assist with the change.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F059,CS FEEDBACK: Plans & prices,APN needed before use,The SIM requires APN setup before use. The APN guide is included in the booklet supplied with the new SIM.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F060,CS FEEDBACK: Plans & prices,5G support,Both 4G and 5G capable SIM cards are available; confirm with support whether a specific plan supports 5G.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F061,CS FEEDBACK: Plans & prices,SIM unlock required,Our SIM cards can only be used with SIM-free / unlocked phones.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F062,CS FEEDBACK: Plans & prices,eSIM availability,eSIM is available for selected plans only.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F063,CS FEEDBACK: Plans & prices,Countryside coverage,"For countryside areas in Japan, the D Data / D Call or S Data / S Call plans are recommended for the widest network coverage.",2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F064,CS FEEDBACK: Plans & prices,Tethering,Only selected plans allow hotspot/tethering depending on the package — confirm with support.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F065,CS FEEDBACK: Plans & prices,No hidden charges,"There are no hidden charges; all fees are explained before activation. Additional charges may apply only for late payment, extra usage or optional add-ons.",2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F066,CS FEEDBACK: Plans & prices,Data SIM cannot call,A Data SIM is for internet use only. Customers needing calls or SMS should use a Call SIM plan.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F067,CS FEEDBACK: Plans & prices,Data plan upgrade,A Data SIM can be upgraded to a higher data plan at any time via a plan change request.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F068,CS FEEDBACK: Plans & prices,No unlimited call plan,There is currently no plan that includes unlimited calls.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F069,CS FEEDBACK: Plans & prices,Monthly/unlimited pricing,Monthly plan pricing and Unlimited Internet pricing vary by package — direct the customer to the website or to staff rather than stating an amount.,2026-08-06,,,customer,True,False,True,POLICY CHANGE: CS supplied customer-facing price answers. Current rule is that AI never states prices. Confirm scope before enabling.,CS feedback docx (Aug 2026)
F070,CS FEEDBACK: Plans & prices,BLOCKED — cheapest plan answer,"The CS draft answer for ""Which plan is the cheapest?"" contains an unfilled placeholder (""[insert cheapest plan name/price]"") and must NOT be used until CS supplies the actual plan name and price.",2026-08-06,,,internal,False,False,True,BLOCKER: unfilled placeholder in source document — must not reach customers,CS feedback docx (Aug 2026)
